pair_id,pair_index,drugbank_id,uniprot_id,confidence_score,affinity_probability_binary,label
342_P23219_DB00316,342,DB00316,P23219,0.8965049982070923,0.3251718878746032,1
343_P35354_DB00316,343,DB00316,P35354,0.903035283088684,0.3472334742546081,1
344_Q15185_DB00316,344,DB00316,Q15185,0.8122148513793945,0.3428165316581726,1
345_Q8NER1_DB00316,345,DB00316,Q8NER1,0.7292667627334595,0.2219197452068328,1
388_Q9Y478_DB00331,388,DB00331,Q9Y478,0.5711907744407654,0.1443322896957397,1
389_P21695_DB00331,389,DB00331,P21695,0.8665139079093933,0.1001370251178741,1
390_Q16134_DB00331,390,DB00331,Q16134,0.8624955415725708,0.1533363163471222,1
1009_P09619_DB00619,1009,DB00619,P09619,0.7491384148597717,0.8443584442138672,1
1010_P00519_DB00619,1010,DB00619,P00519,0.6224287152290344,0.7224682569503784,1
1011_P04629_DB00619,1011,DB00619,P04629,0.7676181197166443,0.1039467453956604,1
1012_P07333_DB00619,1012,DB00619,P07333,0.7977696061134338,0.8399379253387451,1
1013_P10721_DB00619,1013,DB00619,P10721,0.8056511878967285,0.613068699836731,1
1014_P16234_DB00619,1014,DB00619,P16234,0.759555995464325,0.8936053514480591,1
1015_Q08345_DB00619,1015,DB00619,Q08345,0.755885899066925,0.7014487981796265,1
1016_P11274_DB00619,1016,DB00619,P11274,0.6049763560295105,0.6148731708526611,1
1017_Q16832_DB00619,1017,DB00619,Q16832,0.7844133377075195,0.6062784790992737,1
1110_Q9BQB6_DB00682,1110,DB00682,Q9BQB6,0.9450477957725524,0.6188296675682068,1
1111_O75469_DB00682,1111,DB00682,O75469,0.8496614694595337,0.3645769357681274,1
1625_P23219_DB01050,1625,DB01050,P23219,0.9054256677627563,0.31657874584198,1
1626_P35354_DB01050,1626,DB01050,P35354,0.9239773154258728,0.4182507693767547,1
1627_P07204_DB01050,1627,DB01050,P07204,0.5447679758071899,0.3123191595077514,1
1628_P10415_DB01050,1628,DB01050,P10415,0.7860988974571228,0.2114344388246536,1
1629_P12104_DB01050,1629,DB01050,P12104,0.9630956649780272,0.2355300039052963,1
1630_P13569_DB01050,1630,DB01050,P13569,0.6881715655326843,0.1689703166484832,1
1631_P37231_DB01050,1631,DB01050,P37231,0.71427983045578,0.5853366851806641,1
1632_Q07869_DB01050,1632,DB01050,Q07869,0.7760660648345947,0.8182851076126099,1
1633_P07359_DB01050,1633,DB01050,P07359,0.5590023398399353,0.2458593249320984,1
1634_P31151_DB01050,1634,DB01050,P31151,0.9069507718086244,0.2169859856367111,1
1650_P04035_DB01076,1650,DB01076,P04035,0.7589694857597351,0.5411597490310669,1
1651_P27487_DB01076,1651,DB01076,P27487,0.794835090637207,0.1325887590646743,1
1652_P35869_DB01076,1652,DB01076,P35869,0.5318384766578674,0.2991796135902405,1
1653_Q14994_DB01076,1653,DB01076,Q14994,0.8800153732299805,0.3138350248336792,1
1654_Q92769_DB01076,1654,DB01076,Q92769,0.892917811870575,0.0981847941875457,1
4275_O76074_DB00203,4275,DB00203,O76074,0.8176871538162231,0.8901324272155762,1
4276_P18545_DB00203,4276,DB00203,P18545,0.4567663371562958,0.3852705359458923,1
4277_Q13956_DB00203,4277,DB00203,Q13956,0.3916447460651397,0.3225187659263611,1
4278_P11926_DB00203,4278,DB00203,P11926,0.798675537109375,0.1863998919725418,1
4279_Q9NZQ7_DB00203,4279,DB00203,Q9NZQ7,0.851494312286377,0.1747131943702697,1
65000_O14965_DB00398,65000,DB00398,O14965,0.7477849125862122,0.1716155558824539,0
65001_O14965_DB00619,65001,DB00619,O14965,0.7125632166862488,0.3509334921836853,0
65002_O14965_DB04868,65002,DB04868,O14965,0.7076218128204346,0.3753088116645813,0
65003_O14965_DB07138,65003,DB07138,O14965,0.7280289530754089,0.135119616985321,0
65004_O60674_DB00398,65004,DB00398,O60674,0.8759284019470215,0.3638016879558563,0
65005_O60674_DB00619,65005,DB00619,O60674,0.8333282470703125,0.2233931422233581,0
65006_O60674_DB01259,65006,DB01259,O60674,0.842027485370636,0.1477779448032379,0
65008_O60674_DB04868,65008,DB04868,O60674,0.8662527203559875,0.3263711333274841,0
65009_P00519_DB00317,65009,DB00317,P00519,0.6265920996665955,0.3120989799499511,0
65010_P00519_DB00530,65010,DB00530,P00519,0.6405686736106873,0.3011420667171478,0
65011_P00519_DB01259,65011,DB01259,P00519,0.6184371113777161,0.218451127409935,0
65013_P00519_DB07138,65013,DB07138,P00519,0.6133702397346497,0.1356006860733032,0
65016_P00533_DB00619,65016,DB00619,P00533,0.75969398021698,0.2772609293460846,0
65019_P00533_DB03496,65019,DB03496,P00533,0.7801902890205383,0.32240891456604,0
65021_P00533_DB07138,65021,DB07138,P00533,0.7751832008361816,0.385969877243042,0
65023_P12931_DB00619,65023,DB00619,P12931,0.8414859175682068,0.4523101449012756,0
65024_P17612_DB01254,65024,DB01254,P17612,0.9319778680801392,0.3469901084899902,0
65025_P24941_DB00317,65025,DB00317,P24941,0.9539169669151306,0.0714237764477729,0
65027_P24941_DB00530,65027,DB00530,P24941,0.9015242457389832,0.1465297043323516,0
65028_P24941_DB00619,65028,DB00619,P24941,0.94442617893219,0.314806580543518,0
65029_P24941_DB01259,65029,DB01259,P24941,0.8936164975166321,0.1994304358959198,0
65030_P24941_DB01268,65030,DB01268,P24941,0.9567739367485046,0.477029025554657,0
65032_P24941_DB07138,65032,DB07138,P24941,0.9336523413658142,0.0692043527960777,0
65033_P24941_DB08881,65033,DB08881,P24941,0.9244109392166138,0.1967609524726867,0
65034_P35968_DB00317,65034,DB00317,P35968,0.7470437288284302,0.2222094982862472,0
65037_P35968_DB03496,65037,DB03496,P35968,0.7439783215522766,0.1099603474140167,0
65038_P35968_DB04868,65038,DB04868,P35968,0.7636589407920837,0.4929172992706299,0
65039_P35968_DB07138,65039,DB07138,P35968,0.7430683374404907,0.0715431943535804,0
65040_P35968_DB08881,65040,DB08881,P35968,0.7599517703056335,0.3093882799148559,0
65041_P36888_DB00317,65041,DB00317,P36888,0.7819905877113342,0.2484237849712371,0
65042_P36888_DB00530,65042,DB00530,P36888,0.7805348038673401,0.3208407759666443,0
65043_P36888_DB01259,65043,DB01259,P36888,0.7684798836708069,0.125168427824974,0
65044_P49759_DB00619,65044,DB00619,P49759,0.802944004535675,0.3926628828048706,0
65045_P53350_DB01254,65045,DB01254,P53350,0.8965116739273071,0.4761267900466919,0
65046_Q00535_DB00317,65046,DB00317,Q00535,0.9334567189216614,0.1122928857803344,0
65047_Q00535_DB00619,65047,DB00619,Q00535,0.8893221020698547,0.3626528978347778,0
65048_Q13627_DB01254,65048,DB01254,Q13627,0.6276366114616394,0.2013886570930481,0
65049_Q9UEE5_DB00317,65049,DB00317,Q9UEE5,0.7364444136619568,0.1378406286239624,0
